Name,OOB
V14,0.22458836746281244
V4,0.12858981044747794
V8,0.07032098987458252
V22,0.06684252592542005
Scaled_Time,0.0637527923273407
V17,0.06311563767650841
V19,0.05224993832703481
V20,0.0521360847783786
Scaled_Amount,0.0471055701037571
V7,0.04456591567646192
V6,0.029884353346515343
V21,0.025423565467948144
V1,0.019512796415790047
V28,0.017619693681682813
V3,0.014708549316467404
V5,0.014608820967149137
V15,0.010891654270775486
V16,0.010796242871313038
V10,0.008471289345600689
V12,0.008289764498741217
V18,0.007268708729975583
V9,0.006612395246397569
V26,0.004743405574278315
V13,0.0037913297723393678
V11,0.0032132029538436083
V27,0.0008965949414077368
V23,0.0
V24,0.0
V25,0.0
V2,0.0
